twitter_user,followers
Guizadotronix,2102
carolproner,16817
stedile_mst,31896
MilaBelitardo,626
UFCW,85735
astridfontenell,1161947
barbaragancia,538124
brunogagliasso,4995026
vaticannews_pt,75810
negrobelchior,18242
hanakhalil,261350
spiegelonline,491092
folha,7539958
PSBNacional40,146014
g1,11574752
hrw,4427947
monica_benicio,48495
chico_pinheiro,419457
Glauber_Braga,174947
freibetto,52387
taisdeverdade,2530478
olazaroramos,1265965
BBCWorld,28732713
anistiabrasil,39011
patriciapillar,145303
_michaelbrooks,102023
estebantavares,298774
raelepronto,163241
ken4london,42993
FernandaTakai,120622
chicobarney,314481
luizaerundina,203697
lauraabcarvalho,165171
simaopedro_SP,8720
julianapt,6677
renatorabelobr,14275
BresserPereira,12794
caetanoveloso,930546
jilmartatto,10264
fiotioficial,63694
BernieSanders,12794091
DanteCampana,352
zerotoledo,93840
GuajajaraSonia,89571
HaddadDebochado,171210
detremura,476923
safbf,191769
el_pais,7698854
monicabergamo,1556873
florestanjr,69196
carlajimenez9,11792
juarezvero,22100
